epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,9895.57,1.24211,2.75874,1.00123,0.44908,0.51145,0.49,0.31198,1.32372,2.92143,0.9767,0.00043325,0.00043325,0.00043325
134,9969.62,1.27066,2.81588,1.00957,0.47438,0.50463,0.51471,0.29574,1.47647,2.99754,1.01264,0.000427062,0.000427062,0.000427062
135,10043.6,1.25615,2.80965,1.01571,0.46861,0.60741,0.53417,0.31394,1.3839,2.93468,0.98804,0.000420875,0.000420875,0.000420875
136,10117.5,1.23094,2.7515,1.00105,0.55522,0.57614,0.5333,0.32475,1.34559,2.92435,0.97712,0.000414688,0.000414688,0.000414688
137,10192.3,1.29772,2.87839,1.02163,0.41791,0.66553,0.50219,0.30134,1.38887,2.96929,0.98791,0.0004085,0.0004085,0.0004085
138,10267,1.25593,2.79059,1.01373,0.39315,0.63994,0.50553,0.31129,1.35425,2.93503,0.98315,0.000402312,0.000402312,0.000402312
139,10340.8,1.21721,2.67822,1.00221,0.49958,0.59316,0.52533,0.2973,1.47598,3.04033,1.01286,0.000396125,0.000396125,0.000396125
140,10416.5,1.2552,2.78079,0.99797,0.46041,0.64959,0.51166,0.29507,1.46929,3.05553,1.00954,0.000389938,0.000389938,0.000389938
141,10490.5,1.25864,2.83631,1.01447,0.51009,0.55051,0.51946,0.32251,1.32272,2.93308,0.97495,0.00038375,0.00038375,0.00038375
142,10565,1.24628,2.79092,1.00507,0.48337,0.57601,0.50169,0.31248,1.30594,2.92516,0.97331,0.000377563,0.000377563,0.000377563
143,10638.4,1.22877,2.75522,1.01022,0.42376,0.6404,0.50714,0.31806,1.32792,2.92975,0.98234,0.000371375,0.000371375,0.000371375
144,10711.1,1.22095,2.73731,1.00931,0.46239,0.46777,0.48718,0.31176,1.30226,2.90411,0.97162,0.000365188,0.000365188,0.000365188
145,10784.9,1.25216,2.77765,1.00067,0.50523,0.46092,0.50259,0.31453,1.32375,2.92642,0.97243,0.000359,0.000359,0.000359
146,10859.9,1.22319,2.71767,0.99538,0.48818,0.50969,0.50775,0.31857,1.2877,2.97587,0.9674,0.000352812,0.000352812,0.000352812
147,10934.2,1.26369,2.78237,0.99916,0.45153,0.58816,0.50697,0.32329,1.28398,2.89475,0.96594,0.000346625,0.000346625,0.000346625
148,11008.6,1.25074,2.8304,1.01349,0.4772,0.59666,0.51393,0.32525,1.30394,2.91605,0.97104,0.000340438,0.000340438,0.000340438
149,11083.5,1.25423,2.7914,1.00389,0.4428,0.57541,0.49991,0.31496,1.32118,2.91167,0.97534,0.00033425,0.00033425,0.00033425
150,11156.5,1.22687,2.72367,1.01149,0.46061,0.48493,0.49005,0.30959,1.30933,2.88832,0.97501,0.000328063,0.000328063,0.000328063
151,11231.7,1.26235,2.77966,1.00017,0.41812,0.51358,0.50218,0.31807,1.33166,2.94067,0.97741,0.000321875,0.000321875,0.000321875
152,11305,1.19252,2.686,0.99678,0.40973,0.60962,0.51424,0.32634,1.31979,2.89614,0.97678,0.000315687,0.000315687,0.000315687
153,11379.7,1.26475,2.75323,0.99867,0.50341,0.58329,0.49331,0.32423,1.28226,2.9533,0.96901,0.0003095,0.0003095,0.0003095
154,11455.6,1.27186,2.81773,0.99814,0.47705,0.55324,0.50182,0.31647,1.30403,2.95009,0.9692,0.000303313,0.000303313,0.000303313
155,11529.8,1.24289,2.72823,0.98601,0.42916,0.61587,0.52572,0.33165,1.30757,2.87067,0.97119,0.000297125,0.000297125,0.000297125
156,11604.8,1.24224,2.72849,0.99975,0.53639,0.57537,0.51052,0.32645,1.30581,3.02445,0.97321,0.000290937,0.000290937,0.000290937
157,11679.9,1.23378,2.71679,0.98898,0.49175,0.55494,0.5177,0.31814,1.36783,2.95796,0.98344,0.00028475,0.00028475,0.00028475
